action,life,power,attack,defence,fall.defence_up,liedown.time,airjuggle,sparkno,guard.sparkno,ko.echo,volume,intpersistindex,floatpersistindex,var(21),ignorehitpause,ground.hittime,statetype,add,runjump.back,postype,movecamera,fall,air.velocity,edge,attr,trigger1,color,airjump.fwd,keyctrl,triggerall,"root,palno",walk.fwd,walk.back,player,air.hittime,hitflag,priority,air.type,juggle,x,jump.neu,ctrl,velset,persistent,palno,stand.friction,(gametime % 5),physics,ontop,ground.type,(gametime % 10),height,anim,trigger2,airjump.num,givepower,movehit,run.back,reversal.attr,trigger9,pausemovetime,vfacing,damage,run.fwd,ground.front,forceair,crouch.friction,air.front,ampl,palfx.add,guardflag,airjump.height,mid.pos,type,hitsound,guardsound,backedgedist,freq,helpertype,trigger7,scale,stateno,getpower,time,absolute,value,id,flag,jump.fwd,airguard.velocity,v,movetime,animtype,trigger4,trigger3,trigger5,air.back,facing,under,ground.velocity,movetype,name,movecontact,airjump.neu,unhittable,yaccel,trigger6,ground.back,trigger13,pausetime,animtime,ground.slidetime,teamside,head.pos,roundstate,ownpal,(vel y > 0),slot,trigger12,kill,removeongethit,attack.dist,shadowoffset,removetime,p1stateno,proj.attack.dist,animelem,darken,palfx.time,runjump.fwd,pos,bindtime,random,proj.doscale,statedef,draw.offset,sound,invertall,poweradd,yscale,state,sprpriority,"root,stateno",y,"enemynear,movetype",trigger10,mul,airjump.back,supermovetime,p2stateno,trigger11,trigger8,jump.back,p2defmul,sparkxy,xscale
Vel Y,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VelSet,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1028,,,-15,,,,,,,,,,,,
Vel X,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VelSet,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1028,,,,,,,,,,,,,,,
Gravity,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VelAdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1028,,,.6,,,,,,,,,,,,
Anim 5050,,,,,,,,,,,,,,,,,,,,,,,,,,!SelfAnimExist(5052),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChangeAnim,,,,,,,,,,0,,5050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1028,,,,,,,,,,,,,,,
Anim 5052,,,,,,,,,,,,,,,,,,,,,,,,,,SelfAnimExist(5052),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChangeAnim,,,,,,,,,,0,,5052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1028,,,,,,,,,,,,,,,
Anim 5060,,,,,,,,,,,,,,,,,,,,,,,,,,SelfAnimExist(5060),,,,,,,,,,,,,,,,,,0,,,,,,,,,5050,,,,,,,,,,,,,,,,,,,,,ChangeAnim,,,,,,,,,,,,5060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1028,,,,,,,,,,,,,,,
Anim 5062,,,,,,,,,,,,,,,,,,,,,,,,,,SelfAnimExist(5062),,,,,,,,,,,,,,,,,,0,,,,,,,,,5052,,,,,,,,,,,,,,,,,,,,,ChangeAnim,,,,,,,,,,,,5062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1028,,,,,,,,,,,,,,,
Hit ground,,,,,,,,,,,,,,,,,,,,,,,,,,(pos y gteq 40),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChangeState,,,,,,,,,,,,5111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(pos y gteq 40),,,,,,,,,,,,,,,,,,,,,,,,1028,,,,,,,,,,,,,,,
Hit ground,,,,,,,,,,,,,,,,,,,,,,,,,,(pos y gteq 0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SelfState,,,,,,,,,,,,5100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(pos y gteq 0),,,,,,,,,,,,,,,,,,,,,,,,1026,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"0,0",,,,,N,,,,,238,,,,,,,,,,,,,,,,,,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238,,,,,,,2,,,,,,,,,,,,,,
VelAdd,,,,,,,,,,,,,,,,,,,,,,,,,,P2DIST X lteq0,,,,,,,,,,,,,,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VelAdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,
VelAdd,,,,,,,,,,,,,,,,,,,,,,,,,,P2DIST X gteq0,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VelAdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,1,,,,,,,,,,,backEdgedist lteq 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PlaySnd,,,,,,,,,,,,"s4,49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
DestroySelf,,,,,,,,,,,,,,,1,,,,,,,,,,,backEdgedist lteq 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DestroySelf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,0,,,,,,N,,,,,245,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,10,,,2,,,,,,,,,,,,,,
NotHitBy,,,,,,,,,,,,,,,1,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NotHitBy,,,,,,,,,,10,,"SCA,NA,SA,HA,NP,SP,HP,NT,ST,HT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
VarAdd,,,,,,,,,,,,,,,1,,,,,,,,,,,h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VarAdd,,,,,,,,,,,,1,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,h,,,,,,,,,,,
snd,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PlaySnd,,,,,,,,,,,,"12,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1450,,,,,,,,,,,,,,,
snd,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PlaySnd,,,,,,,,,,,,"4,34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1450,,,,,,,,,,,,,,,
VelSet,,,,,,,,,,,,,,,,,,,,,,,,,,1 gteq 0,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VelSet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 gteq 0,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,
VelSet,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VelADD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,
1,,,,,,,,s7000,s8000,,,,,,,100,,,,,,,"-1.4,-3",,", SP",0,,,,,,,,,15,MAFD,"3, Hit",low,,,,,,,,,,,,low,,,,,,,,,,,,,"20, 15",,,,,,,,MA,,,HitDef,"s20, 1","s20, 6",,,,,,,,0,,,,,,"-1.9,-.8",,,Light,,,,,,,-2,,,,,,,,,,"10, 10",,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,"-10, -30",
3,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChangeState,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,0,,,,,,N,,,,,240,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245,,,,10,,,2,,,,,,,,,,,,,,
PosAdd,,,,,,,,,,,,,,,1,,,,,,,,,,,7,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PosAdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
snd,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PlaySnd,,,,,,,,,,,,"11,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,1450,,,,,,,,,,,,,,,
1,,,,,,,,s7010,s8000,,,,,,,50,,,,,,,"-1.4,-3",,", NA",0,,,,,,,,,15,MAFD,"3, Hit",low,,,,,,,,,,,,high,,,,,,,,,,,,,"40, 15",,,,,,,,MA,,,HitDef,"s20, 2","s20, 6",,,,,,,,0,,,,,,"-1.9,-.8",,,Light,,,,,,,-6,,,,,,,,,,"10, 10",,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,"-10, -90",
3,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChangeState,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,0,,,,,,N,,,,,250,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,,,,10,,,2,,,,,,,,,,,,,,
snd,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PlaySnd,,,,,,,,,,,,"11,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,1450,,,,,,,,,,,,,,,
1,,,,,,,,s7000,s8000,,,,,,,40,,,,,,,"-1.4,-3",,", NA",0,,,,,,,,,15,MAFD,"3, Hit",low,,,,,,,,,,,,low,,,,,,,,,,,,,"20, 15",,,,,,,,MA,,,HitDef,"s20, 3","s20, 6",,,,,,,,0,,,,,,"-1.9,-.8",,,Light,,,,,,,-1,,,,,,,,,,"10, 10",,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,"-10, -40",
3,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChangeState,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,0,,,,,,N,,,,,260,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260,,,,10,,,2,,,,,,,,,,,,,,
Turn,,,,,,,,,,,,,,,1,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Turn,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
NotHitBy,,,,,,,,,,,,,,,1,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NotHitBy,,,,,,,,,,15,,"SCA,NA,SA,HA,NP,SP,HP,NT,ST,HT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
VarAdd,,,,,,,,,,,,,,,1,,,,,,,,,,,h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VarAdd,,,,,,,,,,,,1,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,h,,,,,,,,,,,
PosAdd,,,,,,,,,,,,,,,1,,,,,,,,,,,P2Dist X lteq 15,,,,,,,,,,,,,,P2Dist X - 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PosAdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
snd,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PlaySnd,,,,,,,,,,,,"12,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,1450,,,,,,,,,,,,,,,
snd,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PlaySnd,,,,,,,,,,,,"21,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,1450,,,,,,,,,,,,,,,
PosSet,,,,,,,,,,,,,,,1,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PosSet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,
VelSet,,,,,,,,,,,,,,,1,,,,,,,,,,,0,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VelSet,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,
VelSet,,,,,,,,,,,,,,,1,,,,,,,,,,,11,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VelSet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,
1,,,,,,,,s7010,s8000,,,,,,,40,,,,,,,"-1.4,-3",,", NA",7,,,,,,,,,100,MAFD,"3, Hit",low,,,,,,,,,,,,low,,,,,,,,,,,,,"30, 15",,,,,,,,HA,,,HitDef,"s20, 5","s20, 6",,,,,,,,,,,,,,"-1.9,-.8",,,Light,,,,,,,-4,,,,,,,,,,"5, 5",,15,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,200,,,,,,,,,,,,,,"-5, -90",
1,,,,,,,,s7010,s8000,,,,,,,40,,,,,,,"-1.4,-3",,", NA",8,,,,,,,,,100,MAFD,"3, Hit",low,,,,,,,,,,,,low,,,,,,,,,,,,,"30, 15",,,,,,,,HA,,,HitDef,"s20, 5","s20, 6",,,,,,,,,,,,,,"-1.9,-.8",,,Light,,,,,,,-4,,,,,,,,,,"5, 5",,15,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,200,,,,,,,,,,,,,,"-10, -45",
3,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChangeState,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,0,"0,0",,,,,c,,,,,400,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,,,,10,,,2,,,,,,,,,,,,,,
snd,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PlaySnd,,,,,,,,,,,,"21,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,1450,,,,,,,,,,,,,,,
snd,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PlaySnd,,,,,,,,,,,,"15,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,1450,,,,,,,,,,,,,,,
1,,,,,,,,s7000,s8000,,,,,,,40,,,,,,,"-1.4,-3",,", SP",0,,,,,,,,,15,MAFD,"3, Hit",High,,,,,,,,,,,,High,,,,,,,,,,,,,"20, 15",,,,,,,,LA,,,HitDef,"s20, 1","s20, 6",,,,,,,,0,,,,,,"-1.9,-.8",,,Light,,,,,,,-2,,,,,,,,,,"8, 8",,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,"-10, -20",
3,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChangeState,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,0,"0,0",,,,,c,,,,,410,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410,,,,10,,,2,,,,,,,,,,,,,,
snd,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PlaySnd,,,,,,,,,,,,"21,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,1450,,,,,,,,,,,,,,,
1,,,,,,,,s7010,s8000,,,,,,,100,,,,,,,"-1.4,-3",,", NA",0,,,,,,,,,15,MAFD,"3, Hit",High,,,,,,,,,,,,low,,,,,,,,,,,,,"20, 10",,,,,,,,LA,,,HitDef,"s20, 2","s20, 6",,,,,,,,0,,,,,,"-1.9,-.8",,,Light,,,,,,,-5,,,,,,,,,,"12, 12",,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,"0, -25",
3,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChangeState,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,0,"0,0",,,,,c,,,,,435,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420,,,,10,,,2,,,,,,,,,,,,,,
snd,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PlaySnd,,,,,,,,,,,,"21,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,1450,,,,,,,,,,,,,,,
VarAdd,,,,,,,,,,,,,,,1,,,,,,,,,,,h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VarAdd,,,,,,,,,,,,1,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,h,,,,,,,,,,,
1,,,,,,,,s7010,s8000,,,,,,,100,,,,,,,"-1.4,-3",,", NA",0,,,,,,,,,15,MAFD,"3, Hit",High,,,,,,,,,,,,Low,,,,,,,,,,,,,"20, 10",,,,,,,,LA,,,HitDef,"s20, 2","s20, 6",,,,,,,,0,,,,,,"-1.9,-.8",,,heavy,,,,,,,-3,,,,,,,,,,"12, 12",,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,"0, -25",
3,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChangeState,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,0,"0,0",,,,,c,,,,,430,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430,,,,10,,,2,,,,,,,,,,,,,,
snd,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PlaySnd,,,,,,,,,,,,"21,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,1450,,,,,,,,,,,,,,,
1,,,,,,,,s7000,s8000,,,,,,,30,,,,,,,"-1.4,-3",,", SP",0,,,,,,,,,15,MAFD,"3, Hit",High,,,,,,,,,,,,High,,,,,,,,,,,,,"30, 15",,,,,,,,LA,,,HitDef,"s20, 3","s20, 6",,,,,,,,0,,,,,,"-1.9,-.8",,,Light,,,,,,,-1,,,,,,,,,,"5, 5",,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,"-5, -10",
3,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChangeState,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"0,0",,,,,S,,,,,1000,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,2,,,,,,,,,,,,,,
snd,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PlaySnd,,,,,,,,,,,,"4,54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,1450,,,,,,,,,,,,,,,
VarAdd,,,,,,,,,,,,,,,1,,,,,,,,,,,h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VarAdd,,,,,,,,,,,,1,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,h,,,,,,,,,,,
Helper,,,,,,,,,,,,,,,,,,,,p1,,,,,,7,,,0,palno > 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,Helper,,,,,normal,,,501,,,,,501,,,,,,,,,,,1,,,,"""501""",,,,,,,,,,,,,,1,,,,,,,,,,,7,,,,"20,0",,,,,,,,,,0,,,,,,,,0,,,,,,,
Helper,,,,,,,,,,,,,,0,,,,,,p1,,,,,,7,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,Helper,,,,,normal,,,503,,,,,503,,,,,,,,,,,1,,,,"""503""",,,,,,,,,,,,,,1,,,,,,,,,,,7,,,,"20,0",,,,,,,,,,0,,,,,,,,0,,,,,,,
Helper,,,,,,,,,,,,,,1,,,,,,p1,,,,,,7,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,Helper,,,,,normal,,,504,,,,,504,,,,,,,,,,,1,,,,"""504""",,,,,,,,,,,,,,1,,,,,,,,,,,7,,,,"20,0",,,,,,,,,,0,,,,,,,,0,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChangeState,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"0,0",,,,,N,,,,,6070,,,,,,,,,,,,,,,,,,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,501,,,,,,,2,,,,,,,,,,,,,,
snd,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PlaySnd,,,,,,,,,,,,"0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1450,,,,,,,,,,,,,,,
